cf_id,company_name,outcome,backers_count,country,goal,pledged,launch_date,category,subcategory,first_name,last_name,email
147,"Baldwin, Riley and Jackson",failed,0,CA,100.0,0.0,2020-02-13 06:00:00,food,food trucks,Cecilia,Velasco,cecilia.velasco@rodrigues.fr
1621,Odom Inc,successful,158,US,1400.0,14560.0,2021-01-25 06:00:00,music,rock,Mariana,Ellis,mariana.ellis@rossi.org
1812,"Melton, Robinson and Fritz",successful,1425,AU,108400.0,142523.0,2020-12-17 06:00:00,technology,web,Sofie,Woods,sofie.woods@riviere.com
2156,"Mcdonald, Gonzalez and Ross",failed,24,US,4200.0,2477.0,2021-10-21 05:00:00,music,rock,Jeanette,Iannotti,jeanette.iannotti@yahoo.com
1365,Larson-Little,failed,53,US,7600.0,5265.0,2020-12-21 06:00:00,theater,plays,Samuel,Sorgatz,samuel.sorgatz@gmail.com
2057,Harris Group,successful,174,DK,7600.0,13195.0,2020-12-11 06:00:00,theater,plays,Socorro,Luna,socorro.luna@hotmail.com
1894,"Ortiz, Coleman and Mitchell",failed,18,GB,5200.0,1090.0,2020-07-31 05:00:00,film & video,documentary,Carolina,Murray,carolina.murray@knight.com
2669,Carter-Guzman,successful,227,DK,4500.0,14741.0,2020-12-22 06:00:00,theater,plays,Kayla,Moon,kayla.moon@yahoo.de
1114,Nunez-Richards,live,708,DK,110100.0,21946.0,2020-04-08 05:00:00,theater,plays,Ariadna,Geisel,ariadna.geisel@rangel.com
970,"Rangel, Holt and Jones",failed,44,US,6200.0,3208.0,2021-08-13 05:00:00,music,electric music,Danielle,Ladeck,danielle.ladeck@scalfaro.net
2340,Green Ltd,successful,220,US,5200.0,13838.0,2020-07-11 05:00:00,film & video,drama,Tatiana,Thompson,tatiana.thompson@hunt.net
601,"Perez, Johnson and Gardner",failed,27,US,6300.0,3030.0,2020-08-11 05:00:00,theater,plays,Caleb,Benavides,caleb.benavides@rubio.com
1950,Kim Ltd,failed,55,US,6300.0,5629.0,2020-11-14 06:00:00,film & video,drama,Sandra,Hardy,sandra.hardy@web.de
671,"Walker, Taylor and Coleman",successful,98,US,4200.0,10295.0,2020-11-11 06:00:00,music,indie rock,Lotti,Morris,lotti.morris@yahoo.co.uk
1683,"Rodriguez, Rose and Stewart",failed,200,US,28200.0,18829.0,2021-11-14 06:00:00,music,indie rock,Reinhilde,White,reinhilde.white@voila.fr
505,"Wright, Hunt and Rowe",failed,452,US,81200.0,38414.0,2021-10-25 05:00:00,technology,wearables,Kerry,Patel,kerry.patel@hutchinson.com
1245,Hines Inc,successful,100,US,1700.0,11041.0,2021-08-20 05:00:00,publishing,nonfiction,Sophie,Antoine,sophie.antoine@andersen.com
2550,Cochran-Nguyen,successful,1249,US,84600.0,134845.0,2020-04-12 05:00:00,film & video,animation,Martha,Girard,martha.girard@web.de
875,Johnson-Gould,canceled,135,US,9100.0,6089.0,2021-03-24 05:00:00,theater,plays,Stephanie,King,stephanie.king@cervantes.com
2283,Perez-Hess,failed,674,US,62500.0,30331.0,2021-10-12 05:00:00,theater,plays,Amanda,Palmer,amanda.palmer@didier.fr
118,"Reeves, Thompson and Richardson",successful,1396,US,131800.0,147936.0,2020-04-12 05:00:00,film & video,drama,Lina,Alcala,lina.alcala@vespa.net
711,Simmons-Reynolds,failed,558,US,94000.0,38533.0,2021-03-14 06:00:00,theater,plays,Itzel,Murphy,itzel.murphy@muelichen.de
1747,Collier Inc,successful,890,US,59100.0,75690.0,2020-07-06 05:00:00,theater,plays,Filippo,Parry,filippo.parry@live.com
1825,Gray-Jenkins,successful,142,GB,4500.0,14942.0,2021-07-23 05:00:00,film & video,documentary,Katelyn,Cole,katelyn.cole@fiebig.com
1019,"Scott, Wilson and Martin",successful,2673,US,92400.0,104257.0,2021-05-01 05:00:00,technology,wearables,Brian,Novak,brian.novak@ford.net
821,"Caldwell, Velazquez and Wilson",successful,163,US,5500.0,11904.0,2020-10-09 05:00:00,games,video games,Cilly,Gay,cilly.gay@callegaro.it
2653,Spencer-Bates,canceled,1480,US,107500.0,51814.0,2020-11-20 06:00:00,theater,plays,Yolanda,Snyder,yolanda.snyder@gmx.de
2502,"Best, Carr and Williams",failed,15,US,2000.0,1599.0,2021-01-08 06:00:00,music,rock,Evelin,Odonnell,evelin.odonnell@ibarra.net
325,"Campbell, Brown and Powell",successful,2220,US,130800.0,137635.0,2020-12-23 06:00:00,theater,plays,Ingeborg,Alba,ingeborg.alba@hotmail.com
